"index","portfolio","date","investment.growth"
"100",5,2023-10-23,11284.3370978367
"101",5,2023-10-24,11316.2306379789
"102",5,2023-10-25,11152.2890152091
"103",5,2023-10-26,11253.0266740076
"104",5,2023-10-27,11112.1878705095
"105",5,2023-10-30,11216.6343380407
"106",5,2023-10-31,11317.6391097131
"107",5,2023-11-01,11478.6434426743
"108",5,2023-11-02,11699.0133600288
"109",5,2023-11-03,11912.0875836436
"110",5,2023-11-06,11840.0672680507
"111",5,2023-11-07,11748.5139096342
"112",5,2023-11-08,11718.0455094559
"113",5,2023-11-09,11620.3873842455
"114",5,2023-11-10,11786.9975357211
"115",5,2023-11-13,11776.4590812764
"116",5,2023-11-14,12147.3398464919
"117",5,2023-11-15,12214.8712863704
"118",5,2023-11-16,12137.5207457352
"119",5,2023-11-17,12245.910197616
"120",5,2023-11-20,12271.3754028802
"121",5,2023-11-21,12217.6174327796
"122",5,2023-11-22,12256.9276518434
"123",5,2023-11-24,12305.740120802
"124",5,2023-11-27,12310.7912212163
"125",5,2023-11-28,12262.4702000804
"126",5,2023-11-29,12239.2323969024
"127",5,2023-11-30,12365.780271824
"128",5,2023-12-01,12649.766017068
"129",5,2023-12-04,12672.8207514196
"130",5,2023-12-05,12520.4186551717
"131",5,2023-12-06,12455.861535402
"132",5,2023-12-07,12489.8136530755
"133",5,2023-12-08,12562.5167723742
"134",5,2023-12-11,12669.1636631152
"135",5,2023-12-12,12658.3903325862
"136",5,2023-12-13,12953.6004864272
"137",5,2023-12-14,13291.4269893403
"138",5,2023-12-15,13216.1027156795
"139",5,2023-12-18,13222.6670645399
"140",5,2023-12-19,13364.4063459568
"141",5,2023-12-20,13159.9041296146
"142",5,2023-12-21,13290.4907561349
"143",5,2023-12-22,13314.6694434718
"144",5,2023-12-26,13430.0867125044
"145",5,2023-12-27,13428.4074082924
"146",5,2023-12-28,13418.504780722
"147",5,2023-12-29,13355.4983553936
"148",5,2024-01-02,13395.8209908606
"149",5,2024-01-03,13203.2407365535
"150",5,2024-01-04,13195.0841879827
"151",5,2024-01-05,13311.2871325929
"152",5,2024-01-08,13435.6003291595
"153",5,2024-01-09,13401.9312983269
"154",5,2024-01-10,13476.2467769528
"155",5,2024-01-11,13444.7823204255
"156",5,2024-01-12,13437.5079073279
"157",5,2024-01-16,13311.8001917358
"158",5,2024-01-17,13182.9526689994
"159",5,2024-01-18,13252.6547849901
"160",5,2024-01-19,13394.8264477608
"161",5,2024-01-22,13546.0048879911
"162",5,2024-01-23,13519.4621699808
"163",5,2024-01-24,13579.6426203683
"164",5,2024-01-25,13782.6852805716
"165",5,2024-01-26,13755.4610365999
"166",5,2024-01-29,13863.4998279187
"167",5,2024-01-30,13937.3128091279
"168",5,2024-01-31,13668.7643625519
"169",5,2024-02-01,13865.7366469945
"170",5,2024-02-02,13909.6311687818
"171",5,2024-02-05,13914.786238951
"172",5,2024-02-06,13963.7857209533
"173",5,2024-02-07,14060.7937535958
"174",5,2024-02-08,14131.8947683728
"175",5,2024-02-09,14183.8774324758
"176",5,2024-02-12,14255.6908583261
"177",5,2024-02-13,14124.0262855098
"178",5,2024-02-14,14286.2250330578
"179",5,2024-02-15,14509.5780668114
"180",5,2024-02-16,14505.3631730994
"181",5,2024-02-20,14416.8538322158
"182",5,2024-02-21,14442.788313835
"183",5,2024-02-22,14607.2687034363
"184",5,2024-02-23,14676.9546239347
"185",5,2024-02-26,14696.9787935333
"186",5,2024-02-27,14801.927501711
"187",5,2024-02-28,14779.6779493921
